stock_name,2014,2015,2016,2017,2018,2019,2020,2021,2022
S-Oil,150.0,2400.0,6200.0,5900.0,750.0,200.0,0.0,3800.0,5500.0
SAMG엔터,,,,,,,0.0,0.0,0.0
SBI인베스트먼트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBI핀테크솔루션즈,50.0,90.0,107.0,101.0,137.0,185.0,195.0,174.0,168.0
SBS,0.0,750.0,0.0,250.0,0.0,150.0,0.0,1000.0,1000.0
SBS콘텐츠허브,250.0,150.0,100.0,0.0,75.0,0.0,0.0,75.0,0.0
SBW생명과학,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCI평가정보,0.0,0.0,0.0,0.0,0.0,69.0,35.0,40.0,50.0
SDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFA반도체,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG,,,,50.0,60.0,0.0,0.0,0.0,0.0
SG&G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGA솔루션즈,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
SGC에너지,750.0,750.0,750.0,350.0,750.0,1000.0,1500.0,1500.0,1700.0
SGC이테크건설,500.0,500.0,750.0,750.0,1000.0,1500.0,1500.0,1500.0,1500.0
SG글로벌,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG세계물산,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHD,200.0,350.0,250.0,100.0,100.0,100.0,100.0,100.0,100.0
SH에너지화학,45.0,44.0,55.0,43.0,23.0,0.0,0.0,10.0,10.0
SIMPAC,80.0,120.0,100.0,80.0,60.0,60.0,60.0,200.0,200.0
SJM,,,,,,,,,
SJM홀딩스,,,,,,,,,
SK,,,,,,,,,
SKC,550.0,750.0,750.0,900.0,1000.0,1000.0,1000.0,1100.0,1100.0
