stock_name,2014,2015,2016,2017,2018,2019,2020,2021,2022
SG&G,0.0,0.0,0.0,32.0,118.0,49.0,186.0,373.0,1225.0
SGA,55.0,21.0,0.0,210.0,45.0,346.0,60.0,79.0,125.0
SGA솔루션즈,292.0,121.0,111.0,70.0,333.0,702.0,158.0,38.0,62.0
SGC에너지,4478.0,4728.0,3893.0,1064.0,2372.0,42.0,2169.0,4270.0,8093.0
SGC이테크건설,6922.0,8793.0,13275.0,10678.0,13248.0,7394.0,71992.0,28801.0,20988.0
SG글로벌,36.0,164.0,32.0,8.0,74.0,17.0,51.0,123.0,54.0
SG세계물산,33.0,7.0,19.0,32.0,33.0,48.0,51.0,232.0,9.0
SHD,416.0,1590.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0
SH에너지화학,147.0,113.0,162.0,86.0,21.0,26.0,62.0,3.0,17.0
SIMPAC,530.0,608.0,603.0,282.0,1678.0,157.0,586.0,1621.0,1381.0
SJM,,,,,,,,,
SJM홀딩스,,,,,,,,,
SK,,,,,,,,,
SKC,1931.0,7488.0,1162.0,3104.0,3404.0,1686.0,3201.0,5387.0,3445.0
SK가스,11334.0,8050.0,19824.0,11532.0,6753.0,17957.0,29674.0,27773.0,28644.0
SK네트웍스,129.0,296.0,329.0,136.0,30.0,547.0,153.0,451.0,395.0
SK디스커버리,1235.0,2708.0,3452.0,30597.0,3942.0,8846.0,13096.0,10478.0,21631.0
SK디앤디,14321.0,2193.0,2528.0,3362.0,3237.0,2365.0,2505.0,5910.0,3084.0
SK렌터카,860.0,791.0,362.0,440.0,172.0,740.0,494.0,453.0,457.0
SK리츠,,,,,,,54.0,57.0,59.0
SK바이오사이언스,,,,0.0,4456.0,7195.0,537.0,4844.0,1596.0
SK바이오팜,,,,,,,,,
SK스퀘어,,,,,,,0.0,2653.0,1837.0
SK아이이테크놀로지,,,,,,,1521.0,1394.0,416.0
SK오션플랜트,287.0,592.0,215.0,5766.0,2126.0,796.0,270.0,1404.0,524.0
SK이노베이션,6318.0,8744.0,17934.0,22563.0,18264.0,434.0,25729.0,3491.0,18511.0
SK증권,11.0,73.0,36.0,60.0,43.0,67.0,25.0,92.0,23.0
SK케미칼,,,,655.0,457.0,802.0,12947.0,8586.0,9910.0
SK텔레콤,25154.0,20988.0,23497.0,36582.0,44066.0,12144.0,20463.0,7191.0,4118.0
SK하이닉스,5842.0,6002.0,4184.0,15073.0,22255.0,2943.0,6952.0,13989.0,3242.0
SM C&C,0.0,0.0,0.0,192.0,19.0,40.0,152.0,93.0,57.0
SM Life Design,499.0,461.0,120.0,20.0,47.0,67.0,68.0,40.0,54.0
SNT다이내믹스,85.0,1077.0,807.0,1003.0,712.0,622.0,329.0,2666.0,1027.0
SNT모티브,4371.0,6034.0,2316.0,3888.0,4005.0,181.0,3952.0,5787.0,6470.0
SNT에너지,1590.0,3815.0,234.0,610.0,250.0,2148.0,1414.0,1957.0,2292.0
SNT홀딩스,1884.0,2078.0,174.0,418.0,1701.0,4072.0,2533.0,5329.0,3556.0
SPC삼립,3980.0,4488.0,5914.0,4685.0,5199.0,2492.0,1537.0,4990.0,6568.0
STX,15611.0,1642.0,14597.0,20985.0,471.0,1664.0,545.0,696.0,491.0
STX엔진,12098.0,1839.0,1215.0,242.0,1009.0,737.0,713.0,2.0,999.0
STX중공업,,,,,,,,,
SUN&L,204.0,354.0,708.0,583.0,646.0,3081.0,756.0,2808.0,1492.0
SV인베스트먼트,,,,102.0,272.0,313.0,45.0,167.0,201.0
TBH글로벌,,,,,,,,,
TCC스틸,848.0,5249.0,807.0,72.0,465.0,237.0,67.0,1242.0,1239.0
THE E&M,18703.0,4644.0,205.0,200.0,199.0,39.0,112.0,25.0,130.0
THE MIDONG,198.0,62.0,242.0,260.0,922.0,240.0,509.0,285.0,341.0
TJ미디어,16.0,147.0,62.0,120.0,114.0,64.0,176.0,230.0,322.0
TKG애강,343.0,37.0,108.0,184.0,145.0,222.0,48.0,88.0,88.0
TKG휴켐스,,,,,,,,,
TPC,316.0,236.0,362.0,307.0,321.0,313.0,307.0,139.0,2.0
TS인베스트먼트,164.0,180.0,68.0,76.0,185.0,201.0,221.0,258.0,207.0
TS트릴리온,,,,0.0,0.0,0.0,27.0,77.0,107.0
TYM,1360.0,413.0,56.0,342.0,114.0,61.0,29.0,195.0,669.0
WISCOM,367.0,186.0,126.0,4.0,69.0,70.0,65.0,79.0,484.0
YBM넷,62.0,9.0,483.0,170.0,23.0,110.0,100.0,158.0,472.0
YG PLUS,67.0,63.0,72.0,140.0,27.0,25.0,28.0,351.0,180.0
YTN,259.0,88.0,83.0,108.0,16.0,77.0,190.0,1228.0,131.0
YW,100.0,102.0,256.0,297.0,235.0,218.0,374.0,308.0,352.0
iMBC,92.0,63.0,103.0,5.0,73.0,93.0,47.0,48.0,73.0
가비아,271.0,439.0,423.0,370.0,576.0,826.0,935.0,898.0,1666.0
가온그룹,1068.0,792.0,1400.0,475.0,368.0,1251.0,201.0,1387.0,708.0
가온전선,89.0,513.0,975.0,356.0,24.0,1391.0,2418.0,1489.0,2458.0
가온칩스,,,,,,,320.0,677.0,413.0
감성코퍼레이션,840.0,1001.0,599.0,139.0,228.0,133.0,82.0,4.0,180.0
강남제비스코,5928.0,6193.0,5335.0,3567.0,5942.0,2250.0,3583.0,6948.0,952.0
강스템바이오텍,0.0,0.0,0.0,1058.0,745.0,1182.0,828.0,767.0,533.0
강원랜드,1772.0,2178.0,2242.0,2159.0,1467.0,1651.0,1361.0,52.0,570.0
강원에너지,80.0,6.0,69.0,407.0,130.0,2082.0,2101.0,287.0,132.0
갤럭시아머니트리,412.0,51.0,118.0,135.0,133.0,233.0,103.0,7.0,138.0
갤럭시아에스엠,13.0,85.0,57.0,214.0,581.0,50.0,36.0,134.0,167.0
경남스틸,1449.0,1635.0,0.0,827.0,215.0,186.0,119.0,245.0,358.0
경남제약,,,,,,,,,
경농,434.0,380.0,365.0,568.0,310.0,254.0,706.0,890.0,1503.0
경동나비엔,727.0,1316.0,2925.0,2093.0,1961.0,2207.0,3261.0,5898.0,3707.0
경동도시가스,,,,3771.0,7235.0,4167.0,3224.0,3756.0,4105.0
경동인베스트,20943.0,4456.0,5314.0,20799.0,12342.0,4007.0,6956.0,6714.0,6519.0
경동제약,2076.0,1194.0,1485.0,871.0,222.0,850.0,508.0,460.0,447.0
경방,4190.0,6089.0,1075.0,923.0,740.0,1630.0,499.0,872.0,177.0
경보제약,4014.0,1147.0,531.0,751.0,549.0,221.0,393.0,314.0,26.0
경인양행,255.0,48.0,131.0,90.0,331.0,344.0,217.0,589.0,345.0
경인전자,,,,,,,,,
